,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration
11548,1,0,oguCIl1yg3Q,0,0,24,8550,103808,2062,3094356,37
11549,1,0,PxE8nzDz_M8,0,0,24,3247,63940,1551,2858624,22
11550,1,0,Bj6amlYivvM,0,0,24,1693,14229,1338,329833,44
11551,1,0,9UbD2E25fpA,0,0,24,3664,58964,1687,2368524,47
11552,1,0,YkFkf15efJI,0,0,24,3659,88813,2003,4045680,31
11553,2,0,oC2bJjh3YcY,0,0,24,14615,204033,3987,3326576,2
11554,1,0,hFTuIQfpFWw,0,0,24,4052,75629,1712,3398355,15
11555,1,0,Y7JCI5XmfRI,1,0,24,2231,62743,855,1138779,22
11556,3,0,GqRaw_gBlJw,0,0,24,6689,136348,2489,1771530,12
11557,1,0,2P8LlsqpGWU,0,0,24,5665,102256,1525,2844684,34
11558,1,0,kMCf73azRFk,1,0,24,2654,69355,1470,2788345,23
11559,1,0,3ZJfPc8km7U,0,0,24,1463,28475,2535,470498,24
11560,1,0,9yp9pJO9x3c,0,0,24,7032,122207,1862,3089947,36
11561,1,0,Ht0TMDDCrqc,0,0,24,1462,51476,3699,763991,32
11562,1,0,JP3hbJ0vdmw,0,0,24,9224,210946,3572,5950149,1
11563,1,0,iAl1e2xHXkY,0,0,24,2911,67033,1849,2584894,16
11564,2,0,iKXEAhU2sX4,0,0,24,7115,102341,8413,3358692,28
11565,1,0,aO_m0_ny9yA,0,0,24,6996,136807,1643,2772528,33
11566,1,0,lxVFdExT5zo,0,0,24,6658,147980,2355,3270394,31
11567,1,0,eDhKnHBxkgY,0,0,24,3947,74054,4355,1179768,37
11568,1,0,LWwCAKuez5U,1,0,24,5262,113901,3133,6688854,41
11569,1,0,GDsLhEUwSSc,0,0,24,4897,65473,1936,2248173,36
11570,1,0,m9LgEk11qPY,0,0,24,1508,13353,1499,411642,47
11571,1,0,0N3M__vleB0,0,0,24,8426,84852,1805,2533412,35
11572,1,0,c65ll_pOfwQ,0,0,24,6520,72514,2476,2675836,33
11573,2,0,7GakcinTSwU,0,0,24,2754,57393,1275,2138006,17
11574,1,0,QLb8i_SqDmA,0,0,24,8075,88584,1796,3464069,30
11575,1,0,IeJ1NBfEYN8,0,0,24,7955,72043,2348,2380292,43
11576,1,0,NdoGpW-d90Y,1,0,24,4415,58702,904,1460698,25
11577,1,0,nvq4JOrUdJE,1,0,24,4041,84073,3017,7143535,20
11578,2,0,YUs5nYIGrNE,0,0,24,37457,146280,3646,1508507,48
